type	algorithm	optimization	text	data	bss	h(0)	h(8)	h(16)	h(32)	h(64)	h(128)	h(256)	h(512)	h(1024)
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O2	4044	112	1612	12152	12248	12346	16743	25568	43090	78531	149152	290313	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	O3	4804	112	1612	13670	13700	13864	18851	28856	48804	88968	168957	329346	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Os	3976	112	1612	16008	16099	16200	22153	33924	57532	105090	200076	389634	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH256V1	Ofast	4804	112	1612	13670	13766	13864	18850	28856	48803	88902	169025	329288	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O0	4948	112	1612	106061	106159	106251	136639	197124	318010	560164	1044247	2012677	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O1	4080	112	1612	23486	23648	23738	30234	43265	69470	121532	226206	435064	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O2	4064	112	1612	22907	23072	23166	29502	42205	67755	118568	220482	424088	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	O3	4824	112	1612	25012	25108	25272	32206	46103	74046	129717	241193	464300	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Os	3984	112	1612	31090	31186	31285	40002	57301	92243	161974	301381	580131	
HASH	LWC_ALGO_HASH_SPARKLE_ESCH384V1	Ofast	4824	112	1612	25079	25108	25206	32203	46106	74112	129646	241196	464282	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O0	3124	112	1612	824266	1574368	2324305	3824398	6824506	12824607	24824890	48825871	96827146	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O1	1240	112	1612	206038	391329	576667	947430	1688780	3171612	6137072	12068413	23930540	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O2	1392	112	1612	203803	386848	570098	936502	1669025	3134234	6064776	11925648	23647640	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	O3	1732	112	1612	212602	403756	594867	976891	1741367	3270078	6327622	12442580	24672750	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Os	1220	112	1612	211575	401717	591717	971547	1731783	3252067	6292607	12373361	24535457	
HASH	LWC_ALGO_HASH_SUBTERRANEAN_V1	Ofast	1732	112	1612	212605	403755	594931	976898	1741300	3270055	6327572	12442583	24672671	
HASH	LWC_ALGO_HASH_XOODYAKV1	O0	5424	112	1612	158058	158386	158793	237882	396280	712646	1345720	2611724	5144032	
HASH	LWC_ALGO_HASH_XOODYAKV1	O1	4580	112	1612	104830	104854	105018	157036	261139	469493	885922	1719000	3384831	
HASH	LWC_ALGO_HASH_XOODYAKV1	O2	4496	112	1612	86875	87028	87058	130025	216367	388505	733338	1422532	2801066	
HASH	LWC_ALGO_HASH_XOODYAKV1	O3	5584	112	1612	66979	67030	67127	99935	165907	297884	561761	1089556	2145159	
HASH	LWC_ALGO_HASH_XOODYAKV1	Os	4444	112	1612	87677	87875	87930	131570	218644	392703	741223	1437944	2831720	
HASH	LWC_ALGO_HASH_XOODYAKV1	Ofast	5584	112	1612	67045	67029	67060	99938	165910	297902	561765	1089549	2145124	
