type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_COMET_128chamv1	Os	3160	112	1612	124016	123950	185743	185812	185484	185698	247579	247744	247325	247636	186473	186868	248496	248947	248384	248830	310556	310869	310296	310707	186540	187100	248625	249200	248587	249074	310543	311114	310427	310985	249413	250069	311511	312180	311402	312051	373398	374165	373316	373917	249609	250244	311640	312337	311531	312231	373550	374256	373502	374215	
AEAD	LWC_ALGO_COMET_128chamv1	Ofast	4792	112	1612	35241	35206	52362	52523	52044	52354	69789	69912	69477	69878	52883	53291	70574	70894	70472	70795	87950	88215	87701	88116	52902	53489	70528	71050	70428	70948	87824	88282	87721	88181	71251	71790	88673	89216	88507	89116	105814	106658	105802	106413	71271	71987	88697	89409	88588	89245	105911	106574	105758	106542	
AEAD	LWC_ALGO_COMET_64chamv1	O0	7188	112	1612	202662	202598	303031	303247	403864	404045	504451	504657	605270	605561	303776	304229	404822	405292	505411	505891	606223	606706	706796	707448	405544	406047	506287	506826	607115	607704	707770	708353	808522	809162	507009	507647	608012	608706	708589	709294	809469	810084	910026	910923	608730	609531	709556	710295	810365	811106	910890	911775	1011837	1012550	
AEAD	LWC_ALGO_COMET_64chamv1	O1	3136	112	1612	40426	40306	59657	59861	79443	79575	98941	99075	118511	118601	60067	60465	79879	80278	99389	99788	118960	119339	138638	139142	80270	80764	99940	100368	119390	119945	139161	139651	158661	159128	100249	100897	119852	120510	139635	140222	159136	159699	178615	179368	120227	120909	140033	140783	159612	160296	179117	179790	198823	199486	
AEAD	LWC_ALGO_COMET_64chamv1	O2	3236	112	1612	42309	42265	62549	62691	83209	83353	103721	103868	124165	124267	62885	63295	83695	84112	104089	104572	124601	124947	145225	145880	84035	84550	104641	105092	125096	125616	145751	146264	166260	166757	105015	105632	125562	126176	146221	146840	166731	167325	187154	187876	125874	126645	146685	147404	167140	167855	187585	188365	208302	208994	
AEAD	LWC_ALGO_COMET_64chamv1	O3	4320	112	1612	17104	17059	24623	24836	32488	32635	40278	40492	48133	48305	24906	25389	32862	33282	40727	41149	48519	48937	56349	56872	33211	33735	41099	41692	48964	49494	56754	57349	64611	65115	41492	42050	49380	50006	57179	57870	65036	65845	73077	73872	49707	50429	57667	58322	65462	66392	73522	74251	81314	82017	
AEAD	LWC_ALGO_COMET_64chamv1	Os	2760	112	1612	44869	44815	66593	66734	88318	88457	110111	110252	132114	132280	66978	67393	88871	89222	110600	111015	132594	133018	154303	154876	89305	89757	111132	111658	133129	133655	154859	155384	176589	177088	111556	112193	133651	134231	155393	155955	177123	177791	199029	199833	134041	134767	155928	156661	177656	178392	199656	200324	221380	222095	
AEAD	LWC_ALGO_COMET_64chamv1	Ofast	4320	112	1612	17104	16993	24688	24835	32487	32635	40343	40493	48134	48305	24974	25324	32862	33282	40727	41081	48516	48939	56283	56872	33211	33735	41099	41694	48964	49493	56821	57284	64611	65117	41490	42049	49380	50008	57179	57874	65037	65846	73073	73804	49770	50430	57595	58389	65460	66392	73522	74183	81383	82016	
AEAD	LWC_ALGO_COMET_64speckv1	O0	6544	112	1612	150474	150468	225056	225253	299897	300098	374306	374456	448951	449178	225657	226104	300504	301026	375283	375759	449928	450413	525075	525741	301117	301625	376091	376745	450820	451403	525770	526358	600559	601193	376895	377577	451580	452264	526640	527342	601429	602176	676196	677082	452201	452944	527198	528003	602241	603072	677180	678001	751614	752415	
AEAD	LWC_ALGO_COMET_64speckv1	O1	3216	112	1612	43428	43373	64258	64394	85583	85718	106523	106657	127528	127690	64568	64962	85966	86365	106986	107382	127999	128395	149308	149890	86245	86804	107468	107964	128494	128984	149784	150214	170826	171235	107847	108432	128930	129518	150255	150840	171301	171864	192310	193074	129327	129944	150567	151260	171681	172432	192811	193492	214044	214701	
AEAD	LWC_ALGO_COMET_64speckv1	O2	3248	112	1612	41427	41379	61234	61310	81462	81674	101450	101595	121518	121625	61495	61973	81874	82287	101886	102302	121962	122308	142097	142744	82260	82778	102373	102896	122460	122976	142671	143123	162685	163179	102752	103430	122913	123529	143132	143759	163155	163752	183149	183926	123216	123988	143582	144304	163624	164336	183644	184357	203843	204598	
AEAD	LWC_ALGO_COMET_64speckv1	O3	4216	112	1612	26334	26290	38538	38751	51018	51168	63483	63631	76158	76266	38818	39236	51386	51808	63868	64286	76550	76905	88950	89538	51733	52257	64308	64835	76996	77524	89473	90004	101894	102461	64628	65252	77404	78033	89838	90530	102311	102982	114767	115566	77725	78447	90292	91023	102795	103457	115215	115940	127680	128449	
AEAD	LWC_ALGO_COMET_64speckv1	Os	2832	112	1612	44575	44453	66059	66196	87620	87756	109146	109352	130766	130923	66436	66920	88086	88569	109701	110055	131457	131876	153068	153656	88576	89032	110231	110756	131992	132517	153541	154135	175172	175667	110674	111299	132520	133148	154138	154706	175699	176304	197436	198238	133012	133737	154655	155378	176225	176962	198060	198729	219600	220238	
AEAD	LWC_ALGO_COMET_64speckv1	Ofast	4216	112	1612	26399	26289	38603	38749	51018	51168	63484	63629	76154	76329	38820	39302	51388	51809	63868	64289	76549	76971	88947	89603	51731	52257	64305	64837	76926	77524	89472	89934	101953	102389	64630	65254	77404	78033	89900	90531	102376	102983	114767	115566	77659	78449	90290	90951	102728	103457	115218	115945	127681	128385	
