type	algorithm	optimization	text	data	bss	enc(0,0)	dec(0,0)	enc(0,8)	dec(0,8)	enc(0,16)	dec(0,16)	enc(0,24)	dec(0,24)	enc(0,32)	dec(0,32)	enc(8,0)	dec(8,0)	enc(8,8)	dec(8,8)	enc(8,16)	dec(8,16)	enc(8,24)	dec(8,24)	enc(8,32)	dec(8,32)	enc(16,0)	dec(16,0)	enc(16,8)	dec(16,8)	enc(16,16)	dec(16,16)	enc(16,24)	dec(16,24)	enc(16,32)	dec(16,32)	enc(24,0)	dec(24,0)	enc(24,8)	dec(24,8)	enc(24,16)	dec(24,16)	enc(24,24)	dec(24,24)	enc(24,32)	dec(24,32)	enc(32,0)	dec(32,0)	enc(32,8)	dec(32,8)	enc(32,16)	dec(32,16)	enc(32,24)	dec(32,24)	enc(32,32)	dec(32,32)
AEAD	LWC_ALGO_COMET_64chamv1	O3	4328	112	1612	17105	17063	24622	24837	32486	32632	40343	40426	48134	48305	24908	25390	32862	33282	40660	41082	48516	48937	56350	56872	33212	33735	41165	41628	48963	49493	56755	57285	64608	65115	41426	42115	49382	50008	57246	57808	65037	65846	73009	73869	49775	50428	57663	58324	65460	66392	73522	74183	81310	82016	
AEAD	LWC_ALGO_COMET_64chamv1	Os	2764	112	1612	44933	44817	66656	66800	88319	88525	110115	110255	132059	132212	66980	67394	88866	89223	110598	111022	132532	132957	154300	154893	89241	89759	111132	111653	133125	133590	154793	155380	176587	177091	111570	112191	133665	134231	155328	156020	177120	177730	199100	199832	134038	134833	155928	156663	177654	178390	199588	200323	221371	222100	
AEAD	LWC_ALGO_COMET_64chamv1	Ofast	4328	112	1612	17104	16993	24690	24771	32487	32635	40277	40425	48134	48307	24974	25389	32862	33282	40661	41145	48518	48938	56283	56936	33209	33736	41099	41693	48965	49493	56754	57350	64610	65115	41427	42115	49380	50010	57246	57808	65037	65846	73071	73872	49707	50429	57595	58388	65461	66463	73456	74252	81377	82016	
AEAD	LWC_ALGO_COMET_64speckv1	O0	6536	112	1612	150474	150470	225062	225260	299905	300103	374258	374533	448956	449189	225658	226119	300571	301047	375212	375695	449924	450411	525007	525730	301053	301685	376094	376744	450823	451392	525771	526355	600625	601127	376826	377583	451587	452277	526640	527280	601497	602113	676196	677128	452207	453003	527179	528001	602265	603070	677110	677931	751599	752416	
AEAD	LWC_ALGO_COMET_64speckv1	O1	3236	112	1612	43427	43374	64260	64395	85517	85651	106521	106595	127531	127690	64567	64965	85961	86367	106970	107383	127994	128398	149318	149885	86311	86737	107404	107961	128496	128989	149714	150275	170832	171235	107845	108433	128930	129518	150187	150778	171302	171804	192312	193070	129260	129944	150571	151254	171750	172365	192814	193495	213976	214703	
AEAD	LWC_ALGO_COMET_64speckv1	O2	3256	112	1612	41426	41379	61232	61381	81457	81609	101517	101658	121519	121692	61560	61964	81935	82286	101884	102369	121960	122379	142099	142747	82262	82776	102441	102897	122393	122978	142671	143187	162688	163182	102818	103365	122914	123517	143144	143760	163225	163815	183213	183928	123281	123989	143587	144299	163626	164340	183646	184421	203843	204597	
AEAD	LWC_ALGO_COMET_64speckv1	O3	4224	112	1612	26334	26289	38605	38750	51021	51169	63482	63630	76157	76328	38886	39236	51387	51806	63870	64289	76551	76971	88947	89603	51734	52255	64308	64838	76995	77525	89403	90001	101957	102457	64630	65255	77402	78033	89901	90464	102377	102980	114768	115566	77662	78448	90291	91016	102729	103523	115217	115938	127679	128383	
AEAD	LWC_ALGO_COMET_64speckv1	Os	2836	112	1612	44573	44453	66059	66265	87620	87822	109208	109353	130763	130927	66485	66916	88150	88572	109700	110121	131530	131929	153065	153651	88511	89032	110237	110756	132057	132570	153611	154066	175165	175665	110677	111298	132516	133147	154142	154772	175704	176302	197490	198297	132950	133675	154654	155391	176226	176962	197995	198732	219601	220310	
AEAD	LWC_ALGO_COMET_64speckv1	Ofast	4224	112	1612	26401	26289	38604	38685	51085	51235	63482	63628	76154	76262	38821	39235	51387	51808	63871	64289	76550	76905	88946	89598	51799	52324	64310	64837	76995	77523	89405	90001	101953	102391	64630	65253	77403	78033	89837	90527	102375	102914	114767	115561	77725	78449	90291	90950	102795	103452	115213	115943	127678	128379	
AEAD	LWC_ALGO_DRYGASCON_128	O0	8408	112	1612	273775	274027	487721	487885	487640	487862	701021	701198	700992	701181	488244	488730	702172	702598	702176	702591	915499	915903	915470	915912	488229	488908	702102	702792	702143	702794	915519	916158	915458	916080	702252	702690	916129	916633	916116	916558	1129636	1130162	1129621	1130139	702248	702797	916116	916746	916107	916725	1129631	1130347	1129644	1130344	
AEAD	LWC_ALGO_DRYGASCON_128	O1	6076	112	1612	104113	104362	184930	185246	185001	185181	265613	265917	265662	265851	185121	185636	266217	266598	266214	266663	346608	347110	346668	347127	185190	185759	266209	266853	266140	266838	346605	347324	346606	347307	266086	266536	346908	347360	346900	347359	427295	427816	427298	427811	266021	266728	346909	347543	346896	347486	427363	428005	427299	428012	
